bin_i	bin_j	mean_r2	n_pairs
1:17870001-17880000	1:21210001-21220000	0.00404914	98124
1:19300001-19310000	1:19420001-19430000	0.00145519	1776
1:18380001-18390000	1:20590001-20600000	0.00158639	6270
1:18900001-18910000	1:21260001-21270000	0.00282967	16530
1:18020001-18030000	1:21280001-21290000	0.00407337	14478
1:20850001-20860000	1:21270001-21280000	0.0016798	1521
1:19590001-19600000	1:20250001-20260000	0.00285581	49796
1:17730001-17740000	1:21110001-21120000	0.00244768	49140
1:18240001-18250000	1:20490001-20500000	0.00424687	25707
1:18480001-18490000	1:19070001-19080000	0.00206463	11280
1:18870001-18880000	1:19080001-19090000	0.00127796	725
1:18100001-18110000	1:20390001-20400000	0.0025919	16956
1:18070001-18080000	1:18110001-18120000	0.0168096	28560
1:18790001-18800000	1:19710001-19720000	0.0165035	21252
1:17760001-17770000	1:20670001-20680000	0.00135189	18036
1:17650001-17660000	1:19550001-19560000	0.00616781	43680
1:18020001-18030000	1:18730001-18740000	0.0323741	18886
1:17620001-17630000	1:20570001-20580000	0.00264149	223236
1:17510001-17520000	1:19450001-19460000	0.00157759	3360
1:19660001-19670000	1:20800001-20810000	0.00320249	109225
1:19170001-19180000	1:20830001-20840000	0.00275759	52155
1:19080001-19090000	1:20110001-20120000	0.00311305	1740
1:19520001-19530000	1:20700001-20710000	0.00264101	11070
1:19060001-19070000	1:19710001-19720000	0.0125057	14448
1:19030001-19040000	1:20730001-20740000	0.00176075	16092
1:17940001-17950000	1:18260001-18270000	0.00309224	18200
1:19310001-19320000	1:19620001-19630000	0.00947977	12025
1:20450001-20460000	1:20510001-20520000	0.0127056	18490
1:17600001-17610000	1:21210001-21220000	0.00199198	16728
1:20310001-20320000	1:20410001-20420000	0.00306933	75582
1:17380001-17390000	1:20860001-20870000	0.00137535	11211
1:18110001-18120000	1:20590001-20600000	0.00211376	19380
1:18080001-18090000	1:18310001-18320000	0.00167454	245
1:18810001-18820000	1:20160001-20170000	0.00327609	196893
1:18900001-18910000	1:20880001-20890000	0.00313883	12312
1:18350001-18360000	1:19170001-19180000	0.0111909	513
1:18930001-18940000	1:19860001-19870000	0.0060591	1798
1:17540001-17550000	1:20050001-20060000	0.00220378	520
1:18520001-18530000	1:18900001-18910000	0.00270213	1026
1:17660001-17670000	1:19750001-19760000	0.00165748	2800
1:18030001-18040000	1:18930001-18940000	0.00254671	1736
1:20090001-20100000	1:20870001-20880000	0.00420914	78960
1:18600001-18610000	1:19080001-19090000	0.00143004	986
1:17520001-17530000	1:19650001-19660000	0.00360974	54900
1:19360001-19370000	1:21170001-21180000	0.00310365	119972
1:19530001-19540000	1:20900001-20910000	0.00289099	3751
1:19070001-19080000	1:19910001-19920000	0.00904738	20116
1:18580001-18590000	1:21030001-21040000	0.0018805	17024
1:19040001-19050000	1:20930001-20940000	0.00273529	9009
1:17950001-17960000	1:18460001-18470000	0.00169147	690
1:19220001-19230000	1:21070001-21080000	0.00139316	248
1:17810001-17820000	1:18360001-18370000	0.00314669	1170
1:17400001-17410000	1:17400001-17410000	0.0626256	140715
1:20070001-20080000	1:20700001-20710000	0.0048999	945
1:18960001-18970000	1:20460001-20470000	0.00348999	31744
1:18080001-18090000	1:20480001-20490000	0.00804736	27440
1:20320001-20330000	1:20610001-20620000	0.00242522	161424
1:18360001-18370000	1:19370001-19380000	0.00700856	1325
1:18850001-18860000	1:19340001-19350000	0.0130735	17523
1:17740001-17750000	1:20930001-20940000	0.0024226	25542
1:17790001-17800000	1:21120001-21130000	0.00233222	10266
1:18800001-18810000	1:19960001-19970000	0.00532985	26572
1:17440001-17450000	1:19130001-19140000	0.00277749	10914
1:17930001-17940000	1:19100001-19110000	0.00707609	26691
1:17900001-17910000	1:20120001-20130000	0.00336925	5757
1:17960001-17970000	1:18660001-18670000	0.0246231	57850
1:19720001-19730000	1:21240001-21250000	0.00392778	21909
1:19230001-19240000	1:21270001-21280000	0.00160337	5148
1:21180001-21190000	1:21280001-21290000	0.00456982	248031
1:18450001-18460000	1:21130001-21140000	0.00149271	8288
1:17820001-17830000	1:18560001-18570000	0.00264299	8996
1:18940001-18950000	1:21100001-21110000	0.00153189	1501
1:17410001-17420000	1:17600001-17610000	0.00248541	32144
1:20080001-20090000	1:20900001-20910000	0.00322834	4664
1:19780001-19790000	1:19780001-19790000	0.0836014	14878
1:19660001-19670000	1:20080001-20090000	0.0041674	180200
1:18310001-18320000	1:21030001-21040000	0.00363119	128
1:18800001-18810000	1:21000001-21010000	0.00258861	30368
1:20650001-20660000	1:21050001-21060000	0.00355966	99450
1:19090001-19100000	1:20740001-20750000	0.00328159	22920
1:18580001-18590000	1:20650001-20660000	0.00223556	20349
1:19640001-19650000	1:19680001-19690000	0.0266283	159054
1:18440001-18450000	1:20550001-20560000	0.00237503	29260
1:19500001-19510000	1:19580001-19590000	0.00962758	37742
1:19490001-19500000	1:20090001-20100000	0.00369821	16544
1:17660001-17670000	1:20410001-20420000	0.00312287	61880
1:18230001-18240000	1:19470001-19480000	0.00216449	21750
1:18720001-18730000	1:19440001-19450000	0.0303938	5035
1:17520001-17530000	1:20310001-20320000	0.00210576	83448
1:17940001-17950000	1:19300001-19310000	0.00560381	13440
1:17480001-17490000	1:18990001-19000000	0.00474452	93615
1:17310001-17320000	1:19230001-19240000	0.00159196	21692
1:17800001-17810000	1:19200001-19210000	0.00554711	9386
1:17550001-17560000	1:19390001-19400000	0.00411691	49980
1:17740001-17750000	1:18040001-18050000	0.0122938	44634
1:17440001-17450000	1:18750001-18760000	0.00280398	47080
1:19860001-19870000	1:20960001-20970000	0.00382017	6699
1:19280001-19290000	1:20270001-20280000	0.00199086	2925
1:18890001-18900000	1:19990001-20000000	0.00823799	46376
1:18810001-18820000	1:21200001-21210000	0.00504964	131763
1:20270001-20280000	1:21240001-21250000	0.00235082	63765
1:19590001-19600000	1:20910001-20920000	0.00251449	136728
1:19650001-19660000	1:19880001-19890000	0.00778235	74250
1:19140001-19150000	1:20170001-20180000	0.00464807	140910
1:20130001-20140000	1:21140001-21150000	0.00209217	14773
1:18780001-18790000	1:19020001-19030000	0.00850676	82211
1:18480001-18490000	1:19730001-19740000	0.00243901	12480
1:18360001-18370000	1:20030001-20040000	0.00280501	1235
1:18450001-18460000	1:20750001-20760000	0.00173816	15288
1:18940001-18950000	1:20720001-20730000	0.00179064	14773
1:19510001-19520000	1:19780001-19790000	0.00631694	18338
1:17670001-17680000	1:20610001-20620000	0.00392961	146025
1:18730001-18740000	1:19640001-19650000	0.0189477	146118
1:18310001-18320000	1:20650001-20660000	0.00142576	153
1:20650001-20660000	1:20670001-20680000	0.0204293	51102
1:17950001-17960000	1:19500001-19510000	0.00588447	1130
1:17530001-17540000	1:20510001-20520000	0.00396679	27778
1:19160001-19170000	1:19990001-20000000	0.0113989	10120
1:20510001-20520000	1:20570001-20580000	0.00348627	40248
1:17810001-17820000	1:19400001-19410000	0.00409734	58734
1:17560001-17570000	1:19590001-19600000	0.00351096	46420
1:18140001-18150000	1:18370001-18380000	0.000447198	29
1:17360001-17370000	1:18230001-18240000	0.00464582	18676
1:17940001-17950000	1:18920001-18930000	0.00308945	19320
1:17420001-17430000	1:19490001-19500000	0.00187249	11484
1:19990001-20000000	1:20360001-20370000	0.00214945	48136
1:19780001-19790000	1:20440001-20450000	0.00227127	48440
1:17310001-17320000	1:18850001-18860000	0.00437119	13311
1:19640001-19650000	1:20340001-20350000	0.00264824	92022
1:19290001-19300000	1:21280001-21290000	0.00170244	25908
1:19180001-19190000	1:19350001-19360000	0.0125118	212646
1:19150001-19160000	1:20370001-20380000	0.00329087	114380
1:18370001-18380000	1:20230001-20240000	0.00156856	126
1:18460001-18470000	1:20950001-20960000	0.0026148	17250
1:18980001-18990000	1:19900001-19910000	0.00919102	89711
1:19130001-19140000	1:19970001-19980000	0.00968279	2805
1:19010001-19020000	1:20270001-20280000	0.00304454	40950
1:20000001-20010000	1:21240001-21250000	0.0035793	179196
1:18230001-18240000	1:20130001-20140000	0.00289273	10846
1:18320001-18330000	1:20850001-20860000	0.000980807	104
1:18720001-18730000	1:20100001-20110000	0.00766444	5247
1:18810001-18820000	1:20820001-20830000	0.00265369	332664
1:18650001-18660000	1:19120001-19130000	0.0117931	39201
1:18350001-18360000	1:19830001-19840000	0.00911729	1284
1:20660001-20670000	1:20870001-20880000	0.00358189	99960
1:17540001-17550000	1:20710001-20720000	0.00175303	676
1:18510001-18520000	1:19020001-19030000	0.00183388	10534
1:18210001-18220000	1:19730001-19740000	0.0156314	44512
1:20520001-20530000	1:20770001-20780000	0.00181313	2952
1:17400001-17410000	1:20610001-20620000	0.00250792	281961
1:18150001-18160000	1:18570001-18580000	0.00305052	2925
1:17860001-17870000	1:18400001-18410000	0.0019085	13067
1:17430001-17440000	1:19690001-19700000	0.00191539	91103
1:19130001-19140000	1:21010001-21020000	0.0037936	9078
1:18010001-18020000	1:18470001-18480000	0.0038933	15385
1:17720001-17730000	1:18300001-18310000	0.00531987	3668
1:19650001-19660000	1:20540001-20550000	0.00323454	67275
1:19160001-19170000	1:20570001-20580000	0.00338295	53820
1:17750001-17760000	1:17860001-17870000	0.00248162	1611
1:18870001-18880000	1:20400001-20410000	0.00152325	7175
1:19510001-19520000	1:20440001-20450000	0.0026599	29680
1:19050001-19060000	1:19450001-19460000	0.00133511	152
1:19020001-19030000	1:20470001-20480000	0.00227937	75341
1:17870001-17880000	1:21150001-21160000	0.00285311	165945
1:18240001-18250000	1:20330001-20340000	0.00370365	3363
1:17610001-17620000	1:17760001-17770000	0.00250802	10476
1:19300001-19310000	1:19360001-19370000	0.00819026	16176
1:18480001-18490000	1:20490001-20500000	0.00164396	27060
1:18130001-18140000	1:19210001-19220000	0.00192326	4600
1:18220001-18230000	1:19930001-19940000	0.00590735	9898
1:17730001-17740000	1:21050001-21060000	0.00301778	169000
1:18100001-18110000	1:20230001-20240000	0.00193905	6804
1:18710001-18720000	1:19900001-19910000	0.0145434	33919
1:20190001-20200000	1:21150001-21160000	0.00208153	31740
1:20140001-20150000	1:20960001-20970000	0.003195	19173
1:18160001-18170000	1:18770001-18780000	0.0210953	4588
1:18790001-18800000	1:19650001-19660000	0.00891823	56925
1:18650001-18660000	1:18740001-18750000	0.0269757	90395
1:17860001-17870000	1:20570001-20580000	0.00265386	83772
1:17870001-17880000	1:18600001-18610000	0.00167435	16354
1:17590001-17600000	1:20520001-20530000	0.00232731	7995
1:19140001-19150000	1:21210001-21220000	0.00421728	87108
1:18020001-18030000	1:18670001-18680000	0.0249974	18012
1:18990001-19000000	1:19010001-19020000	0.0250674	49770
1:18510001-18520000	1:18640001-18650000	0.00288718	7498
1:17730001-17740000	1:18500001-18510000	0.0018603	4420
1:19000001-19010000	1:21110001-21120000	0.0022798	38556
1:17480001-17490000	1:18690001-18700000	0.00684976	82950
1:19660001-19670000	1:20740001-20750000	0.00305336	81175
1:19570001-19580000	1:20020001-20030000	0.00406465	40920
1:19550001-19560000	1:19620001-19630000	0.0269306	14430
1:19520001-19530000	1:20640001-20650000	0.00393719	21566
1:19060001-19070000	1:19650001-19660000	0.00977378	38700
1:18740001-18750000	1:20500001-20510000	0.00250049	157560
1:18600001-18610000	1:20400001-20410000	0.00163576	9758
1:17350001-17360000	1:21240001-21250000	0.00188516	120663
1:18140001-18150000	1:19410001-19420000	0.00208703	4524
1:18350001-18360000	1:20590001-20600000	0.00139759	342
1:19190001-19200000	1:19980001-19990000	0.00230232	19551
1:18980001-18990000	1:19180001-19190000	0.0175628	120841
1:18000001-18010000	1:19310001-19320000	0.00755934	74750
1:17600001-17610000	1:21150001-21160000	0.001859	28290
1:17870001-17880000	1:20770001-20780000	0.00165451	11544
1:18210001-18220000	1:20490001-20500000	0.00432737	96514
1:18660001-18670000	1:18940001-18950000	0.00248189	25675
1:18840001-18850000	1:19080001-19090000	0.00527346	3074
1:18990001-19000000	1:21180001-21190000	0.0029123	154287
1:17730001-17740000	1:20670001-20680000	0.0028856	86840
1:18520001-18530000	1:18840001-18850000	0.00234425	954
1:17490001-17500000	1:19600001-19610000	0.00143543	120
1:17740001-17750000	1:18700001-18710000	0.00976023	98556
1:19280001-19290000	1:20930001-20940000	0.0020118	1485
1:17600001-17610000	1:18600001-18610000	0.00126767	2788
1:17350001-17360000	1:18790001-18800000	0.00466137	93357
1:21210001-21220000	1:21230001-21240000	0.0284262	29784
1:19560001-19570000	1:19820001-19830000	0.00265686	854
1:19440001-19450000	1:20120001-20130000	0.00235536	1805
1:19190001-19200000	1:21020001-21030000	0.00440683	134463
1:19140001-19150000	1:20830001-20840000	0.00296095	130235
1:19420001-19430000	1:19720001-19730000	0.00173547	2479
1:19300001-19310000	1:20020001-20030000	0.00344831	6336
1:17990001-18000000	1:19380001-19390000	0.00474125	1180
1:19930001-19940000	1:20190001-20200000	0.00289646	9292
1:20560001-20570000	1:20610001-20620000	0.0109593	259659
1:20070001-20080000	1:20640001-20650000	0.00270404	1841
1:18360001-18370000	1:20790001-20800000	0.00383071	2235
1:18010001-18020000	1:19510001-19520000	0.0111361	19186
1:20420001-20430000	1:20510001-20520000	0.00250686	2666
1:18220001-18230000	1:20690001-20700000	0.00693105	3430
1:17880001-17890000	1:20970001-20980000	0.00322399	163736
1:18790001-18800000	1:20310001-20320000	0.0027728	86526
1:18850001-18860000	1:19280001-19290000	0.0116135	405
1:18190001-18200000	1:19220001-19230000	0.00219015	40
1:17790001-17800000	1:21060001-21070000	0.00313695	27318
1:17650001-17660000	1:20150001-20160000	0.00322864	9632
1:17740001-17750000	1:20870001-20880000	0.00277574	54180
1:18710001-18720000	1:19180001-19190000	0.0189397	45689
1:17930001-17940000	1:19040001-19050000	0.00712761	8463
1:17510001-17520000	1:20050001-20060000	0.00151534	4200
1:17600001-17610000	1:20770001-20780000	0.00153251	1968
1:19470001-19480000	1:21270001-21280000	0.00159439	43875
1:19060001-19070000	1:20310001-20320000	0.00221578	58824
1:19720001-19730000	1:21180001-21190000	0.00326326	43617
1:17790001-17800000	1:18510001-18520000	0.00238878	8004
1:19430001-19440000	1:19920001-19930000	0.00128375	65
1:18550001-18560000	1:21030001-21040000	0.00173538	20480
1:19010001-19020000	1:20930001-20940000	0.00241313	20790
1:18060001-18070000	1:21060001-21070000	0.00382522	15386
1:19690001-19700000	1:21290001-21300000	0.00390451	21902
1:20570001-20580000	1:20810001-20820000	0.00244052	120744
1:20430001-20440000	1:20710001-20720000	0.00154082	1014
1:18230001-18240000	1:20890001-20900000	0.0042069	24940
1:18930001-18940000	1:20460001-20470000	0.00529274	15376
1:18470001-18480000	1:19470001-19480000	0.00151705	31875
1:17660001-17670000	1:20350001-20360000	0.00315213	72800
1:18060001-18070000	1:18510001-18520000	0.00281895	4508
1:18720001-18730000	1:19380001-19390000	0.0213372	15635
1:17520001-17530000	1:20250001-20260000	0.0026061	28792
1:17610001-17620000	1:20970001-20980000	0.00257468	81868
1:17550001-17560000	1:19230001-19240000	0.0016598	9240
1:17640001-17650000	1:19950001-19960000	0.00622367	27300
1:18690001-18700000	1:19490001-19500000	0.00670775	9240
1:17800001-17810000	1:19140001-19150000	0.00762298	105469
1:17790001-17800000	1:20680001-20690000	0.00218101	19140
1:19070001-19080000	1:20510001-20520000	0.00374916	16168
1:17980001-17990000	1:18040001-18050000	0.0680284	15397
1:17660001-17670000	1:17800001-17810000	0.0090542	69160
1:19350001-19360000	1:19400001-19410000	0.04159	124998
1:17990001-18000000	1:20040001-20050000	0.00141847	1872
1:18070001-18080000	1:21260001-21270000	0.00209377	24360
1:18560001-18570000	1:21230001-21240000	0.00165736	7592
1:17930001-17940000	1:18660001-18670000	0.0148734	30225
1:19200001-19210000	1:21270001-21280000	0.00262388	4446
1:17520001-17530000	1:17700001-17710000	0.00626484	10736
1:19770001-19780000	1:20180001-20190000	0.00473735	38582
1:19210001-19220000	1:19300001-19310000	0.00168891	1920
1:20760001-20770000	1:21150001-21160000	0.004677	85560
1:20270001-20280000	1:21180001-21190000	0.00303266	126945
1:20440001-20450000	1:20910001-20920000	0.00292614	90720
1:19630001-19640000	1:20080001-20090000	0.00390224	244648
1:20620001-20630000	1:21050001-21060000	0.00376817	330200
1:20130001-20140000	1:21080001-21090000	0.00385378	33099
1:18480001-18490000	1:19670001-19680000	0.0029875	26040
1:18970001-18980000	1:19640001-19650000	0.0141869	115248
1:18940001-18950000	1:20660001-20670000	0.001417	37604
1:18060001-18070000	1:20680001-20690000	0.0027311	10780
1:18070001-18080000	1:18710001-18720000	0.0320278	17976
1:17640001-17650000	1:21090001-21100000	0.00252169	8125
1:18340001-18350000	1:19570001-19580000	0.00233815	620
1:18800001-18810000	1:20560001-20570000	0.00315693	71394
1:17560001-17570000	1:19430001-19440000	0.00133622	1430
1:18200001-18210000	1:19470001-19480000	0.00349061	22500
1:17420001-17430000	1:19330001-19340000	0.00252415	58725
1:17450001-17460000	1:18990001-19000000	0.00416508	107124
1:17850001-17860000	1:18140001-18150000	0.00285202	1653
1:17690001-17700000	1:19760001-19770000	0.00452113	8840
1:17360001-17370000	1:18170001-18180000	0.0136178	17710
1:17530001-17540000	1:17900001-17910000	0.0101992	97869
1:19780001-19790000	1:20380001-20390000	0.00482179	55187
1:17710001-17720000	1:18040001-18050000	0.0133193	46191
1:17800001-17810000	1:18760001-18770000	0.00913965	64220
1:18920001-18930000	1:21300001-21310000	0.00153208	5106
1:19760001-19770000	1:19980001-19990000	0.00222818	4165
1:19640001-19650000	1:20280001-20290000	0.00388197	151116
1:19390001-19400000	1:21180001-21190000	0.00233052	154938
1:18460001-18470000	1:20990001-21000000	0.00342275	759
1:20630001-20640000	1:21250001-21260000	0.00402646	46200
1:19490001-19500000	1:19930001-19940000	0.00498082	4444
1:18070001-18080000	1:20880001-20890000	0.00354554	18144
1:18560001-18570000	1:20850001-20860000	0.00117985	676
1:18980001-18990000	1:19840001-19850000	0.0167433	4245
1:19620001-19630000	1:19880001-19890000	0.0122731	12210
1:19500001-19510000	1:20180001-20190000	0.00286454	43166
1:20000001-20010000	1:21180001-21190000	0.00328053	356748
1:18260001-18270000	1:19050001-19060000	0.00172777	1235
1:18350001-18360000	1:19770001-19780000	0.0175036	303
1:18230001-18240000	1:20070001-20080000	0.00169233	406
1:18750001-18760000	1:19020001-19030000	0.0101254	50380
1:18840001-18850000	1:19740001-19750000	0.003112	10388
1:18720001-18730000	1:20040001-20050000	0.00417941	24804
1:18810001-18820000	1:20760001-20770000	0.00239416	124248
1:20760001-20770000	1:20770001-20780000	0.00277535	5952
1:17640001-17650000	1:20610001-20620000	0.00412928	172575
1:20490001-20500000	1:20720001-20730000	0.00337114	84337
1:18210001-18220000	1:19670001-19680000	0.012901	92876
1:18700001-18710000	1:19640001-19650000	0.0136143	112308
1:17430001-17440000	1:19530001-19540000	0.00265868	133331
1:17920001-17930000	1:19500001-19510000	0.00185407	6441
1:19760001-19770000	1:21020001-21030000	0.00302007	28645
1:18390001-18400000	1:19380001-19390000	0.00160783	1180
1:17860001-17870000	1:18340001-18350000	0.00440662	358
1:17720001-17730000	1:18240001-18250000	0.0160938	29868
1:17810001-17820000	1:18960001-18970000	0.00649316	29952
1:19260001-19270000	1:20470001-20480000	0.00248537	4935
1:18480001-18490000	1:20330001-20340000	0.00191637	3540
1:19510001-19520000	1:20380001-20390000	0.00176527	33814
1:18760001-18770000	1:19220001-19230000	0.00104602	520
1:18850001-18860000	1:19940001-19950000	0.00513023	9045
1:18730001-18740000	1:20240001-20250000	0.00229281	82502
1:17480001-17490000	1:21080001-21090000	0.00383848	69915
1:17970001-17980000	1:21050001-21060000	0.00342428	179400
1:18430001-18440000	1:20950001-20960000	0.00225446	11250
1:20770001-20780000	1:20970001-20980000	0.0022323	10128
1:17650001-17660000	1:20810001-20820000	0.00337797	28896
1:18620001-18630000	1:19120001-19130000	0.0158027	7884
1:18710001-18720000	1:19840001-19850000	0.0187358	1605
1:18130001-18140000	1:19150001-19160000	0.00360784	34615
1:18220001-18230000	1:19870001-19880000	0.00993119	22442
1:20630001-20640000	1:20870001-20880000	0.0044214	36750
1:20050001-20060000	1:20180001-20190000	0.00338758	3820
1:17350001-17360000	1:19010001-19020000	0.00378948	77490
1:17930001-17940000	1:19700001-19710000	0.00506785	15066
1:17810001-17820000	1:20000001-20010000	0.00350185	128232
1:17510001-17520000	1:20710001-20720000	0.0015765	5460
1:17560001-17570000	1:20190001-20200000	0.00287779	10120
1:17680001-17690000	1:19890001-19900000	0.00535548	61178
1:19770001-19780000	1:21220001-21230000	0.00250981	22119
1:18260001-18270000	1:18670001-18680000	0.00260189	30810
1:18890001-18900000	1:19550001-19560000	0.00891617	205530
1:17420001-17430000	1:20090001-20100000	0.00364283	98136
1:17480001-17490000	1:18530001-18540000	0.00199364	22120
1:19630001-19640000	1:21120001-21130000	0.00243816	34043
1:18510001-18520000	1:18580001-18590000	0.00201199	6118
1:17340001-17350000	1:18430001-18440000	0.00174924	13365
1:19000001-19010000	1:21050001-21060000	0.00230009	132600
1:19760001-19770000	1:20640001-20650000	0.00465568	22355
1:17860001-17870000	1:17960001-17970000	0.0239199	31862
1:18980001-18990000	1:20500001-20510000	0.00457078	88296
1:19550001-19560000	1:19560001-19570000	0.0513255	47580
1:19130001-19140000	1:20570001-20580000	0.00325816	23868
1:17980001-17990000	1:21250001-21260000	0.00416935	23496
1:18350001-18360000	1:20430001-20440000	0.00417749	234
1:17720001-17730000	1:17860001-17870000	0.0141165	93796
1:18770001-18780000	1:19420001-19430000	0.00231506	5476
1:19410001-19420000	1:19460001-19470000	0.00176376	1560
1:17840001-17850000	1:21150001-21160000	0.00257929	41400
1:18210001-18220000	1:20330001-20340000	0.0040772	12626
1:18630001-18640000	1:19320001-19330000	0.00573654	49245
1:17350001-17360000	1:21180001-21190000	0.00287869	240219
1:20690001-20700000	1:21260001-21270000	0.00265967	5075
1:17520001-17530000	1:20910001-20920000	0.002519	79056
1:17700001-17710000	1:21050001-21060000	0.00244599	28600
1:18000001-18010000	1:19250001-19260000	0.00576764	28520
1:20500001-20510000	1:20970001-20980000	0.00346309	131664
1:18760001-18770000	1:18840001-18850000	0.0201934	27560
1:17800001-17810000	1:19800001-19810000	0.00479735	70148
1:17980001-17990000	1:18700001-18710000	0.029455	33998
1:17430001-17440000	1:20290001-20300000	0.00251211	127857
1:18040001-18050000	1:18050001-18060000	0.0851924	2076
1:18130001-18140000	1:18770001-18780000	0.00346417	17020
1:17840001-17850000	1:18600001-18610000	0.00191999	4080
1:17410001-17420000	1:19890001-19900000	0.0025488	132496
1:17990001-18000000	1:20700001-20710000	0.000882083	540
1:17490001-17500000	1:19540001-19550000	0.00366496	2760
1:17350001-17360000	1:18630001-18640000	0.00554133	74169
1:19500001-19510000	1:21220001-21230000	0.00219872	24747
1:19770001-19780000	1:20840001-20850000	0.00259066	10201
1:19680001-19690000	1:20120001-20130000	0.00318713	10279
1:19280001-19290000	1:20870001-20880000	0.00200479	3150
1:20180001-20190000	1:21120001-21130000	0.00228439	22538
1:19930001-19940000	1:20030001-20040000	0.011399	24947
1:19630001-19640000	1:20740001-20750000	0.00271442	110207
1:19170001-19180000	1:19750001-19760000	0.00185528	1710
1:19140001-19150000	1:20770001-20780000	0.00197757	10248
1:19050001-19060000	1:20050001-20060000	0.00308299	190
1:20040001-20050000	1:21020001-21030000	0.003472	157716
1:18360001-18370000	1:20630001-20640000	0.00311554	875
1:18850001-18860000	1:20600001-20610000	0.00255444	162
1:20670001-20680000	1:21190001-21200000	0.00261031	134268
1:19420001-19430000	1:19660001-19670000	0.00215508	15725
1:19000001-19010000	1:20670001-20680000	0.00158879	68136
1:18250001-18260000	1:19510001-19520000	0.00240094	3816
1:18220001-18230000	1:20530001-20540000	0.00782829	18816
1:18710001-18720000	1:20500001-20510000	0.00372505	33384
1:20530001-20540000	1:21090001-21100000	0.00237446	4800
1:18500001-18510000	1:19420001-19430000	0.00141592	629
1:17710001-17720000	1:21250001-21260000	0.00339405	70488
1:20420001-20430000	1:20450001-20460000	0.00417871	6665
1:18490001-18500000	1:20960001-20970000	0.0017552	22869
1:17980001-17990000	1:20870001-20880000	0.00530715	18690
1:18050001-18060000	1:18250001-18260000	0.00393629	432
1:18140001-18150000	1:18970001-18980000	0.00453667	11368
1:18630001-18640000	1:18940001-18950000	0.00269002	15879
1:18190001-18200000	1:19160001-19170000	0.0266885	2300
1:17680001-17690000	1:19070001-19080000	0.00806685	34028
1:20690001-20700000	1:20880001-20890000	0.0067466	3780
1:17850001-17860000	1:18800001-18810000	0.00473035	8322
1:18000001-18010000	1:18870001-18880000	0.00138819	5750
1:17710001-17720000	1:18700001-18710000	0.0103763	101994
1:19960001-19970000	1:21180001-21190000	0.00259577	118482
1:19690001-19700000	1:21130001-21140000	0.00274342	34484
1:19670001-19680000	1:19920001-19930000	0.00639459	2170
1:19640001-19650000	1:20940001-20950000	0.00245517	77910
1:19550001-19560000	1:20220001-20230000	0.00118606	2340
1:19180001-19190000	1:19950001-19960000	0.0058885	35868
1:19060001-19070000	1:20250001-20260000	0.00220019	20296
1:20050001-20060000	1:21220001-21230000	0.00152041	2190
1:19820001-19830000	1:21080001-21090000	0.00301117	1239
1:19500001-19510000	1:20840001-20850000	0.00205068	11413
1:19410001-19420000	1:20120001-20130000	0.00140475	2964
1:19010001-19020000	1:20870001-20880000	0.0030228	44100
1:18140001-18150000	1:20010001-20020000	0.00276168	5017
1:18720001-18730000	1:20700001-20710000	0.00319105	7155
1:18260001-18270000	1:19710001-19720000	0.00170921	5460
1:20540001-20550000	1:21290001-21300000	0.00296288	28106
1:20180001-20190000	1:20740001-20750000	0.00289124	72962
1:18470001-18480000	1:20890001-20900000	0.00184347	36550
1:19900001-19910000	1:20190001-20200000	0.0028615	29164
1:19190001-19200000	1:20580001-20590000	0.00392682	187530
1:18120001-18130000	1:19610001-19620000	0.00254742	1404
1:20400001-20410000	1:21190001-21200000	0.00453095	115374
1:20040001-20050000	1:20640001-20650000	0.00288642	123084
1:18170001-18180000	1:19090001-19100000	0.0119837	6600
1:18960001-18970000	1:19380001-19390000	0.0194105	37760
1:17850001-17860000	1:20970001-20980000	0.00205056	24054
1:18060001-18070000	1:18450001-18460000	0.00690148	5488
1:18690001-18700000	1:19330001-19340000	0.0079474	47250
1:17490001-17500000	1:20200001-20210000	0.00265725	4410
1:17710001-17720000	1:20870001-20880000	0.00303764	56070
1:17550001-17560000	1:19170001-19180000	0.00654653	35910
1:17720001-17730000	1:18900001-18910000	0.00498975	59736
1:17410001-17420000	1:19070001-19080000	0.00469168	73696
1:17900001-17910000	1:19040001-19050000	0.0110866	27573
1:19560001-19570000	1:20420001-20430000	0.00269628	3782
1:18190001-18200000	1:18780001-18790000	0.0359063	7180
1:19830001-19840000	1:21280001-21290000	0.00357028	163068
1:19420001-19430000	1:20320001-20330000	0.00152153	11248
1:18170001-18180000	1:21160001-21170000	0.0021402	5885
1:17520001-17530000	1:17640001-17650000	0.0103085	79300
1:20680001-20690000	1:20910001-20920000	0.00612428	35640
1:19400001-19410000	1:19920001-19930000	0.00490018	1255
1:18910001-18920000	1:21040001-21050000	0.00170485	1788
1:20370001-20380000	1:21080001-21090000	0.00629627	67260
1:19910001-19920000	1:20390001-20400000	0.00428856	33598
1:19690001-19700000	1:20750001-20760000	0.00275018	63609
1:18130001-18140000	1:19810001-19820000	0.00245727	24150
1:18010001-18020000	1:20110001-20120000	0.00717478	10860
1:20590001-20600000	1:21000001-21010000	0.00405509	23712
1:20540001-20550000	1:20810001-20820000	0.00456296	77142
1:20050001-20060000	1:20840001-20850000	0.00147472	1010
1:17880001-17890000	1:21090001-21100000	0.00307361	9700
1:19090001-19100000	1:19660001-19670000	0.00993009	51000
1:18970001-18980000	1:19580001-19590000	0.008434	130928
